cell_id,total_buildings,buildings_within_400m,accessibility_pct,avg_distance_m,ndvi_mean,ndvi_min,ndvi_max,ndvi_std
242,99,99,100.0,218.8,0.2889775146484375,0.05219780281186104,0.48410630226135254,0.08326473367702121
243,101,101,100.0,233.7,0.258763720703125,0.0601569302380085,0.4647260308265686,0.07609734308111366
244,151,151,100.0,147.1,0.1992318115234375,0.007582938298583031,0.4452097713947296,0.0884736461269499
245,28,28,100.0,82.0,0.215709033203125,0.015948962420225143,0.45679011940956116,0.09351779444115119
247,62,62,100.0,110.4,0.214770263671875,0.006397774908691645,0.41747573018074036,0.08256950001771993
248,138,138,100.0,177.4,0.19959989013671875,0.017167381942272186,0.39835065603256226,0.0774751868926223
249,109,109,100.0,172.8,0.210238720703125,0.050735294818878174,0.45861297845840454,0.07326303937326925
250,122,94,77.0,309.4,0.2304572265625,0.05344619229435921,0.4913880527019501,0.10285149730866708
251,67,67,100.0,121.6,0.267712890625,0.036906853318214417,0.4626200199127197,0.13392944569046578
252,154,154,100.0,141.2,0.132181591796875,0.01685985177755356,0.3504023551940918,0.06190275619401135
253,60,60,100.0,305.8,0.07329701949139031,0.0,0.330705851316452,0.0842002426572126
254,94,94,100.0,48.5,0.18820646324936224,0.0,0.4359646141529083,0.09695622593788818
255,132,132,100.0,95.2,0.134821240234375,-0.0017482517287135124,0.40795835852622986,0.08457111455825975
256,123,123,100.0,58.2,0.122390673828125,-0.0055626872926950455,0.3783073425292969,0.07644799433324097
257,126,123,97.6,265.9,0.19138392333984375,0.020983606576919556,0.451199471950531,0.0833105651850427
258,75,75,100.0,147.4,0.170495654296875,0.022851919755339622,0.36982017755508423,0.0784639043635401
259,115,111,96.5,186.6,0.2582870849609375,0.08357050269842148,0.45407694578170776,0.06823492021693107
260,115,113,98.3,178.2,0.246738427734375,0.08172083646059036,0.4112491011619568,0.06396886699063699
261,9,9,100.0,46.9,0.2088313232421875,0.0458124540746212,0.4055424630641937,0.0740180359431819
262,29,29,100.0,123.4,0.283405712890625,0.054709531366825104,0.5136069059371948,0.102437325078939
263,98,98,100.0,154.0,0.298889111328125,0.04589114338159561,0.5457395911216736,0.10615725141671849
264,88,78,88.6,302.8,0.256145751953125,-0.0030244707595556974,0.43417367339134216,0.0873616391681329
265,70,70,100.0,89.4,0.295531689453125,0.08366993814706802,0.4340318441390991,0.07183265204745572
266,88,88,100.0,154.6,0.2402534423828125,0.050134290009737015,0.4639878571033478,0.08021920571026929
267,101,101,100.0,87.8,0.107874755859375,-0.02379634790122509,0.3363521099090576,0.06940287410211533
268,9,9,100.0,34.8,0.1539601806640625,-0.10681871324777603,0.451657235622406,0.10277921621010092
270,65,65,100.0,122.3,0.23616201171875,-0.005606373772025108,0.41584357619285583,0.08045047947397889
271,81,81,100.0,124.1,0.16860911865234374,-0.03931203857064247,0.395374059677124,0.08080998621759579
272,167,167,100.0,205.9,0.155313623046875,0.005659949965775013,0.3706449270248413,0.06934179531343114
273,213,213,100.0,136.7,0.20036114501953126,0.035246726125478745,0.4178534150123596,0.07107829356645004
274,195,182,93.3,213.6,0.110912451171875,-0.01895734667778015,0.28686636686325073,0.05609816206492939
275,136,111,81.6,265.7,0.1029171142578125,0.0,0.2869502604007721,0.05278758417922534
276,104,104,100.0,100.2,0.059255968989158164,0.0,0.2712906002998352,0.06308118603431412
277,72,72,100.0,98.7,0.19503325793207907,0.0,0.4402017295360565,0.10576661178876585
278,118,118,100.0,46.5,0.2234563232421875,0.033782463520765305,0.49727678298950195,0.10231836515101439
279,74,74,100.0,94.7,0.15003734130859375,0.006854009814560413,0.3932875990867615,0.09225187267519036
280,104,102,98.1,250.0,0.172053466796875,-0.017015069723129272,0.4337555766105652,0.08932070066378966
281,70,70,100.0,88.8,0.1270649169921875,-0.015202702954411507,0.4460984766483307,0.08143113005443982
282,67,67,100.0,118.5,0.158884814453125,-0.001119194203056395,0.42509225010871887,0.09152823856986876
283,87,87,100.0,87.6,0.225256494140625,0.052738334983587265,0.4341610372066498,0.07386477245438064
284,15,15,100.0,94.8,0.17429649658203125,0.016917293891310692,0.4344543516635895,0.08628741936841422
285,47,47,100.0,49.3,0.2097304931640625,-0.005801160354167223,0.4093816578388214,0.08814189530535198
286,74,74,100.0,125.2,0.2890522216796875,0.07104385644197464,0.4398544132709503,0.06612730035605566
287,92,92,100.0,212.0,0.265780029296875,0.04379146918654442,0.43934834003448486,0.07187039161268857
288,127,127,100.0,201.8,0.27625224609375,0.05495560169219971,0.45985400676727295,0.06891104732548221
289,81,81,100.0,117.4,0.283942236328125,0.07094952464103699,0.4450605809688568,0.07083673800271022
290,85,85,100.0,130.9,0.17388408203125,-0.009760426357388496,0.4142259359359741,0.0986484962001001
291,17,17,100.0,45.9,0.16898751220703126,-0.05577072128653526,0.43553560972213745,0.0916907885679237
292,58,58,100.0,120.6,0.16852596435546874,0.0057142856530845165,0.37550362944602966,0.08664131891402971
293,56,56,100.0,181.1,0.19015902099609375,0.008460236713290215,0.42234957218170166,0.08828263636894876
294,109,109,100.0,200.4,0.190577783203125,0.028131280094385147,0.3880217671394348,0.08553320825241431
295,103,103,100.0,117.9,0.1912720947265625,0.0024320140946656466,0.38952839374542236,0.08438170554136024
